Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementPresent(findTestObject(""Web/Register/lbl_failRegister""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:25:03,13-05-2026 16:25:03,0.401s,PASSED
"verifyElementText(findTestObject(""Web/Register/lbl_failRegister""), ""This username already exists."")",Chrome 147.0.7727.138,,,13-05-2026 16:25:03,13-05-2026 16:25:04,0.283s,PASSED
"takeScreenshot(screenshotPath + ""TC-04-Register Invalid.png"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:04,13-05-2026 16:25:04,0.397s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,13-05-2026 16:25:04,13-05-2026 16:25:04,0.433s,PASSED
"println(""TC-04-Register_Invalid Pass - Register Invalid berhasil!"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:04,13-05-2026 16:25:04,0.002s,PASSED
,,,,,,,
Test Cases/Web/TC-02-Login_Invalid,Chrome 147.0.7727.138,,,13-05-2026 16:25:04,13-05-2026 16:25:12,7.709s,PASSED
"openBrowser(""https://parabank.parasoft.com"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:05,13-05-2026 16:25:08,3.711s,PASSED
"setText(findTestObject(""Web/Login/txt_username""), ""john"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:08,13-05-2026 16:25:09,0.805s,PASSED
"setText(findTestObject(""Web/Login/txt_password""), ""demo1"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:09,13-05-2026 16:25:10,0.626s,PASSED
"click(findTestObject(""Web/Login/btn_login""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:10,13-05-2026 16:25:10,0.638s,PASSED
"waitForElementPresent(findTestObject(""Web/Login/lbl_faillogin""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:25:10,13-05-2026 16:25:11,0.535s,PASSED
"verifyElementVisible(findTestObject(""Web/Login/lbl_faillogin""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:11,13-05-2026 16:25:11,0.281s,PASSED
"verifyElementText(findTestObject(""Web/Login/lbl_faillogin""), ""The username and password could not be verified."")",Chrome 147.0.7727.138,,,13-05-2026 16:25:11,13-05-2026 16:25:11,0.285s,PASSED
currentUrl = getUrl(),Chrome 147.0.7727.138,,,13-05-2026 16:25:11,13-05-2026 16:25:12,0.024s,PASSED
"assert currentUrl.contains(""login"") : ""Tetap dihalaman login!""",Chrome 147.0.7727.138,,,13-05-2026 16:25:12,13-05-2026 16:25:12,0.003s,PASSED
"takeScreenshot(screenshotPath + ""TC-02-Login Invalid.png"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:12,13-05-2026 16:25:12,0.357s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,13-05-2026 16:25:12,13-05-2026 16:25:12,0.299s,PASSED
"println(""TC-02-Login_Invalid Pass - Login Invalid berhasil!"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:12,13-05-2026 16:25:12,0.002s,PASSED
,,,,,,,
Test Cases/Web/TC-01-Login_Valid,Chrome 147.0.7727.138,,,13-05-2026 16:25:12,13-05-2026 16:25:20,8.003s,PASSED
"openBrowser(""https://parabank.parasoft.com"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:12,13-05-2026 16:25:16,3.872s,PASSED
"setText(findTestObject(""Web/Login/txt_username""), ""Haryadi01"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:16,13-05-2026 16:25:17,0.775s,PASSED
"setText(findTestObject(""Web/Login/txt_password""), ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:17,13-05-2026 16:25:18,0.618s,PASSED
"click(findTestObject(""Web/Login/btn_login""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:18,13-05-2026 16:25:19,0.931s,PASSED
"waitForElementPresent(findTestObject(""Web/Home/lbl_accountoverview""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:25:19,13-05-2026 16:25:19,0.710s,PASSED
"verifyElementVisible(findTestObject(""Web/Home/lbl_accountoverview""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:19,13-05-2026 16:25:20,0.286s,PASSED
currentUrl = getUrl(),Chrome 147.0.7727.138,,,13-05-2026 16:25:20,13-05-2026 16:25:20,0.016s,PASSED
